docno	tokens
FT943-12986	ft 22 jul 94 stock currency markets stock market indices ft se 100 3 095 1 17 9 yield 4 03 ft se eurotrack 100 1 371 54 3 98 ft se share 1 545 3 0 5 ft world index 175 97 0 3 nikkei 20 622 92 157 84 new york dow jones ind ave 3 732 45 5 18 p composite 452 61 1 01 us rates federal funds 4 5 16 4 3 4 3 mo treas bills yld 4 418 4 387 long bond 84 27 32 84 13 16 yield 7 537 7 54 london money 3 mo interbank 5 3 16 5 7 32 liffe long gilt future sep 103 1 16 north sea oil argus brent 15 day sep dollars 17 645 17 52 gold new york comex aug dollars 384 3 385 6 london dollars 386 3 387 0 sterling new york dollar 1 524 1 5465 london dollar 1 5375 1 5486 dm 2 4231 2 4259 ffr 8 3064 8 3101 sfr 2 0464 2 0508 151 728 152 974 pound index 79 0 79 3 dollar new york dm 1 59245 1 56385 ffr 5 4435 5 363 sfr 1 34765 1 319 99 15 98 685 london dm 1 576 1 5662 ffr 5 4025 5 365 sfr 1 331 1 324 98 685 98 76 dollar index 63 1 62 9 tokyo open 99 20
FT943-12987	ft 22 jul 94 telegraph chairman sharp attack cazenove raymond snoddy robert peston mr conrad black chairman telegraph group launched unprecedented public attack cazenove discreet illustrious british stockbrokers manner firm withdrew telegraph account mr black described cazenove abrupt resignation last month broker telegraph scandalous dishonourable resignation followed row hollinger mr black canadian company controls telegraph group selling pounds 73m worth shares institutions may month weekday cover price daily telegraph cut day price cut announced telegraph shares fell 191p 349p enraging investors bought shares cazenove 587p barely month stock exchange cleared mr black impropriety mr black says given two hours notice cazenove decision even though believed talking senior cazenove staff would anything provocative would withdraw abruptly believed would natural parting ways dust settled cazenove great name mr black said occasion firm behaviour absolutely outrageous mr black comments put yesterday stockbroking firm new senior partner mr mark loveday said would respond allegations apart abruptness decision mr black angry unnamed senior cazenove official told financial times first time recent memory firm voluntarily resigned stockbroker company mr black said effect poisoning wells inflicting maximum damage company reputation mr black added took line least resistance scurried back door tall grass company using cazenove broker adviser take note fact business reasonable level reliability people paying serve cazenove concentrates providing advice companies share issues rather becoming broadly based investment bank widely regarded successful lex page 16 black reveals anger page 17
FT943-12988	ft 22 jul 94 blair wins mandate push labour centre ground new leader says party must shun old dogmas left right philip stephens political editor mr tony blair clear mandate yesterday push labour political centre ground securing decisive victory party leadership election 41 year old successor late john smith committed war complacency party immediate pledge loyalty newly elected deputy traditionalist mr john prescott promising drive forward process modernisation echoing themes president bill clinton 1992 us presidential campaign mr blair said labour must eschew old dogmas right left instead would present electorate next general election new left centre agenda based economic regeneration restoration britain social fabric youngest ever labour leader told supporters london rally conservatives lost nation trust labour still work earn trust launching crusade change mr blair victory outright majority 57 per cent across three sections labour electoral college accompanied mr prescott comfortable win race deputy leadership mrs margaret beckett took interim leader mr smith defeated contests immediately pledged loyalty new leaders indicating would seeking senior post alongside mr blair mr prescott autumn elections shadow cabinet team mr blair whose victory coincided first meeting mr john major reshuffled cabinet delay shadow cabinet elections planned shake labour team already studying changes party cumbersome policymaking machinery next week provide glimpse new leadership style launch policy document linking industrial policy education mr jeremy hanley new conservative party chairman attacked mr blair style substance senior ministers said government strategy would highlight clear water remained two parties economy taxation europe acceptance speech new labour leader left doubt direction intends travel effort end run four general election defeats led 15 years political wilderness labour would embrace market economy buttress partnership government industry would end dependency poor promoting employment rather welfare would extend high standards education schools mr blair offered clear hint also intends continue internal reform process saw influence trade union leaders leadership election eclipsed votes mps constituency members rank file union members mr prescott whose comfortable victory deputy leadership contest underlined popularity party faithful said intended take high profile campaigning role run general election made clear would also expect pivotal role policymaking would continue promote goal full employment centre campaign leadership labour tragedy turns triumph page 10 hanley condemns page 10 joe rogaly page 14
FT943-12989	ft 22 jul 94 former b c chief gunn faces bar director david wighton mr john gunn former head british commonwealth holdings faces disqualification director highly critical department trade industry report report published yesterday also censures merchant bank barclays de zoete wedd accountants spicer oppenheim role b c pounds 400m acquisition atlantic computers 1988 led financial services group collapse 1990 however n rothschild floated atlantic 1983 escapes criticism mr michael heseltine trade industry secretary making court application disqualification mr gunn five individuals involved b c collapsed 1990 debts pounds 1 2bn writing pounds 550m investment atlantic computer leasing company report concludes probably never made profit since formed 1975 long awaited report criticised mr gunn two fellow b c directors mr peter goldie mr rusty ashman failing alert board members shareholders learned pounds 160m black hole atlantic accounts april 1989 also criticised publishing grossly misleading set accounts following discovery inspectors added however satisfied acting perceived time albeit view erroneously best interests b c act dishonestly sense seeking defraud person others facing disqualification mr david mccormick director atlantic time acquisition mr nicholas kennedy scott finance director mrs sien yen cheng kai board member mr gunn said yesterday astonished report shoddy piece work containing material inaccuracies vigorously defend disqualification action attacked charge b c failed investigate atlantic adequately acquisition deal b c employed outside advisers also defended decision alert shareholders immediately problems discovered atlantic running company based confidence lenders market participants took prudent approach mr mccormick appointed chief executive atlantic acquisition said despite taking nearly four years report findings inspectors criticised failing solve atlantic problems little one year individuals mentioned report said criticism city institutions earlier drafts toned mr vernon davies co founder atlantic late mr john foulston director major shareholder 1986 criticised report facing disqualification meanwhile administrators b c launched legal action spicer oppenheim auditor atlantic part accountants touche ross writ lodged high court wednesday claims damages firm relation negligent professional advice provided time adviser auditor group administrators accountants ernst young also started litigations bzw directors atlantic companies writ specify exact value claim may seek redress compensation available actions total pounds 416m lost plus interest costs editorial comment page 15 hopes resolving tangle page 18 insight auditing page 19
FT943-12990	ft 22 jul 94 world news brief africans back lord south africans emerging sporting isolation end apartheid began first cricket series england 29 years end first day lord 244 six captain kepler wessels making 105
FT943-12991	ft 22 jul 94 world news brief bomb components found reading scotland yard anti terrorist squad called suitcase containing components bomb found near reading railway station police later investigating discovery suspect package basingstoke railway station
FT943-12992	ft 22 jul 94 world news brief us request haiti us ambassador madeleine albright said seeking united nations approval us led force use necessary means restore democracy haiti
FT943-12993	ft 22 jul 94 meps give santer grudging backing brussels chief lionel barber european parliament offered grudging endorsement yesterday mr jacques santer next president european commission averting crisis eu governments committed luxembourg prime minister nerve wracking climax debate newly elected meps demanded treated equals eu governing council ministers parliament voted 260 votes 238 support santer nomination 23 abstentions mr santer looking relieved told meps strasbourg think european parliament shown worthy powers given lukewarm endorsement ends period uncertainty succession mr jacques delors foreshadows broader power struggle parliament institutions expected come head 1996 european union reviews maastricht treaty vote meps seemed pleased delivered unambiguous warning member state governments consult future mildly relieved avoiding institutional crisis eu national governments might exploited parliament disadvantage maastricht treaty gives meps right consulted commission president designate well power reject president team present programme next five years parliament later year yesterday debate mr santer fitness top executive job brussels often questioned parliament turned right consultation de facto vote confidence mr santer 57 christian democrat served 10 years prime minister luxembourg squeezed support greek portuguese spanish socialists reluctant upset national party leaders home also backed neo fascists italy overwhelming support fellow christian democrats many meps voiced unhappiness mr santer emerged compromise candidate result britain veto last month mr jean luc dehaene belgian prime minister backed france germany one dutch mep called man past mr klaus kinkel german foreign minister predicted mr santer would first class successor mr delors acknowledged weaknesses selection process pledged consult closely european parliament said develop powers vote mr santer presented parliament rough outline priorities commission would follow five year term runs tandem newly elected parliament begins next january mr santer said eu leaders institutions bridge gulf ordinary european citizens many boycotted last month european parliamentary elections vital convince public european integration unavoidable also stressed need new economic growth order tackle endemic unemployment undermining fabric european society new parliament means taken seriously page 2 editorial comment page 15
FT943-12994	ft 21 jul 94 uk company news junk food odds console betting person david wighton tenner way double cheeseburger could order day britain betting shops following government decision ease restrictions governed industry 33 years main chains welcomed announcement mr michael howard home secretary allow clear glass shopfronts larger television screens wider range food ladbrokes 1 900 betting shops said would significantly increase investment refurbishment pounds 75m next three years take advantage changes william hill 1 800 strong chain owned brent walker said would continue invest pounds 8m year mr chris bell deputy managing director ladbrokes said ludicrous public able see interior betting shop far removed traditional image buy snack crisps confectionery inside rules date back 1961 course betting legalised designed limit attraction betting shops young impressionable industry lobbied hard removal particularly face competition national lottery coral 700 shop chain owned bass said important change allow ordinary shopfronts demystify betting shops help attract people one bookmakers known changes likely year ensured shops refurbished recently could adapted quickly putting new shopfronts soon law changed early next year said coral ladbrokes already designed new format shops fitted one pilot betting shops allowed display race betting information windows provide larger television screens currently restricted 30 inches able offer hand held food burgers chips ban alcohol remain mr howard made clear changes result betting shops becoming general entertainment centres
FT943-12995	ft 21 jul 94 international company news agf may sell bank stake alice rawsthorn assurances generales de france agf insurance company scheduled privatisation autumn yesterday confirmed considering sale 43 per cent stake banque francaise du commerce exterieur bfce specialist banking group agf also verified talks credit lyonnais troubled french banking group owns 24 per cent bfce proposed disposal however agf credit lyonnais declined comment speculation considering selling holdings together controlling stake disposal combined holdings majority stake 67 per cent estimated value ffr2 8bn dollars 534m would theory raise money separate sales individual stakes given potential purchaser could expected pay premium control bfce agf credit lyonnais making disposals agf denied speculation substantial losses bond market trying raise capital last year making heavy provisions property portfolio exposure ailing concerns comptoir des entrepreneurs troubled financial group mr antoine jeancourt galignani agf chairman reviewing future insurer non strategic interests agf yesterday confirmed bfce stake considered strategic investment might therefore sold credit lyonnais even greater financial pressure mr jean peyrelevade chairman spring secured government support ffr44 9bn rescue package disclosing net loss ffr6 9bn 1993 however recently confirmed group would require yet another capital injection following discovery financial problems mr peyrelevade also intent raising capital disposals credit lyonnais last week agreed terms sell controlling stake fnac music retailing group mr francois pinault entrepreneur ffr1 9bn
